target,states,actions,q1,q2
1.0,"[6.5, 0.5, 0.49999988079071045]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.49999988079071045]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
1.0,"[6.5, 0.5, 0.5]",1.0,1.0110416412353516,1.0110416412353516
